task,condition,ACR,orig_acc,para_acc,mean_SD,n,delta_acc,model
boolq,formality,0.939,0.837,0.816,0.002,49,0.02,gpt
boolq,lexical,0.9,0.86,0.8,0.003,50,0.06,gpt
boolq,syntactic,0.939,0.857,0.837,0.002,49,0.02,gpt
boolq,voice,0.98,0.857,0.878,0.001,49,0.02,gpt
hellaswag,formality,0.86,0.82,0.82,0.009,50,0.0,gpt
hellaswag,lexical,0.86,0.82,0.78,0.008,50,0.04,gpt
hellaswag,syntactic,0.82,0.82,0.74,0.019,50,0.08,gpt
hellaswag,voice,0.86,0.82,0.74,0.006,50,0.08,gpt
mmlu,formality,0.082,0.143,0.143,0.091,49,0.0,gpt
mmlu,lexical,0.08,0.14,0.1,0.082,50,0.04,gpt
mmlu,syntactic,0.06,0.14,0.1,0.092,50,0.04,gpt
mmlu,voice,0.125,0.146,0.104,0.08,48,0.042,gpt
sst2,formality,0.96,0.88,0.88,0.005,50,0.0,gpt
sst2,lexical,0.96,0.88,0.92,0.005,50,0.04,gpt
sst2,syntactic,0.938,0.896,0.875,0.009,48,0.021,gpt
sst2,voice,0.92,0.88,0.92,0.011,50,0.04,gpt
trivia_qa,formality,0.68,0.78,0.72,0.025,50,0.06,gpt
trivia_qa,lexical,0.755,0.776,0.714,0.019,49,0.061,gpt
trivia_qa,syntactic,0.7,0.78,0.72,0.025,50,0.06,gpt
trivia_qa,voice,0.72,0.76,0.72,0.027,50,0.04,gpt
boolq,formality,0.673,0.51,0.551,0.034,49,0.041,llama
boolq,lexical,0.66,0.52,0.6,0.039,50,0.08,llama
boolq,syntactic,0.592,0.51,0.551,0.043,49,0.041,llama
boolq,voice,0.612,0.51,0.551,0.037,49,0.041,llama
hellaswag,formality,0.8,0.54,0.58,0.017,50,0.04,llama
hellaswag,lexical,0.76,0.54,0.54,0.025,50,0.0,llama
hellaswag,syntactic,0.76,0.54,0.5,0.014,50,0.04,llama
hellaswag,voice,0.78,0.54,0.48,0.026,50,0.06,llama
mmlu,formality,0.204,0.143,0.122,0.101,49,0.02,llama
mmlu,lexical,0.14,0.14,0.16,0.098,50,0.02,llama
mmlu,syntactic,0.22,0.14,0.1,0.104,50,0.04,llama
mmlu,voice,0.229,0.146,0.104,0.1,48,0.042,llama
sst2,formality,0.98,0.9,0.92,0.003,50,0.02,llama
sst2,lexical,0.96,0.9,0.94,0.005,50,0.04,llama
sst2,syntactic,0.958,0.917,0.917,0.006,48,0.0,llama
sst2,voice,0.96,0.9,0.9,0.005,50,0.0,llama
trivia_qa,formality,0.14,0.44,0.48,0.094,50,0.04,llama
trivia_qa,lexical,0.347,0.429,0.388,0.058,49,0.041,llama
trivia_qa,syntactic,0.18,0.44,0.36,0.092,50,0.08,llama
trivia_qa,voice,0.2,0.44,0.46,0.079,50,0.02,llama
boolq,formality,0.49,0.551,0.49,0.048,49,0.061,gemma
boolq,lexical,0.64,0.56,0.58,0.036,50,0.02,gemma
boolq,syntactic,0.469,0.551,0.429,0.061,49,0.122,gemma
boolq,voice,0.429,0.551,0.449,0.053,49,0.102,gemma
hellaswag,formality,0.96,0.32,0.3,0.006,50,0.02,gemma
hellaswag,lexical,0.94,0.32,0.3,0.008,50,0.02,gemma
hellaswag,syntactic,0.98,0.32,0.3,0.003,50,0.02,gemma
hellaswag,voice,0.96,0.32,0.3,0.006,50,0.02,gemma
mmlu,formality,0.061,0.082,0.163,0.115,49,0.082,gemma
mmlu,lexical,0.08,0.08,0.14,0.101,50,0.06,gemma
mmlu,syntactic,0.04,0.08,0.1,0.12,50,0.02,gemma
mmlu,voice,0.083,0.083,0.125,0.112,48,0.042,gemma
sst2,formality,1.0,0.48,0.48,0.0,50,0.0,gemma
sst2,lexical,1.0,0.48,0.48,0.0,50,0.0,gemma
sst2,syntactic,1.0,0.479,0.479,0.0,48,0.0,gemma
sst2,voice,1.0,0.48,0.48,0.0,50,0.0,gemma
trivia_qa,formality,0.12,0.18,0.22,0.095,50,0.04,gemma
trivia_qa,lexical,0.265,0.184,0.163,0.071,49,0.02,gemma
trivia_qa,syntactic,0.12,0.18,0.2,0.093,50,0.02,gemma
trivia_qa,voice,0.14,0.18,0.24,0.09,50,0.06,gemma
